,delivery_id,id_source,delivery_cost_sds,radius,delivery_options,promo,delivery,take_away,dine_in
9989,delv_9989,4-C2TKTU5HGTWTKE,4.7,5000,DELIVERY_TAKEAWAY,S$3.00 off Nasi Lemak Ambeng Sets,True,True,False
9990,delv_9990,4-C2NZNXVHAPXWNT,9.9,24999,ONLY_DELIVERY,No Promotion available,True,False,False
9991,delv_9991,4-CY32CATFLLMYGT,5.0,2500,DELIVERY_TAKEAWAY,XFT 2ND ANNIVERSARY MEGA DEAL ,True,True,False
9992,delv_9992,4-C2TKR7W2LVEAAN,12.0,4000,ONLY_DELIVERY,No Promotion available,True,False,False
9993,delv_9993,4-C2BGRNVDAUE1EN,5.0,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9994,delv_9994,4-C2LUTFCBVT6JWA,9.6,4999,DELIVERY_TAKEAWAY,25% Off Selected Categories,True,True,False
9995,delv_9995,4-CZDVCN2ANX6VUA,5.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9996,delv_9996,4-CZEXLGCFEY31TJ,9.0,6000,ONLY_DELIVERY,No Promotion available,True,False,False
9997,delv_9997,4-CZJZVJ6BRKDDC6,11.4,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9998,delv_9998,4-CZKHVKX3E6LCUA,12.0,10000,ONLY_DELIVERY,"Free Delivery with promo code ""DRINKS""",True,False,False
9999,delv_9999,4-CY6TT4J1GJCTAX,4.0,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
10000,delv_10000,4-CYTEJ7LWHCLKVA,4.9,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
10001,delv_10001,4-CYLTMAMBPBV3RX,8.2,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
10002,delv_10002,4-CZJZVJ6HL2B2AN,11.3,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
10003,delv_10003,4-CYWKN8KGCUB2TT,12.0,10000,ONLY_DELIVERY,No Promotion available,True,False,False
10004,delv_10004,4-CYTBSEJZLT3GNJ,5.5,5000,DELIVERY_TAKEAWAY,S$3.00 off delivery fee with S$35.00 min. order,True,True,False
10005,delv_10005,4-C2TZL8MBFEAUJ6,3.3,2500,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
10006,delv_10006,4-C2UCA4MGG223TE,10.2,4000,ONLY_DELIVERY,No Promotion available,True,False,False
10007,delv_10007,4-C2CYCACDN3TDVJ,4.9,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
10008,delv_10008,SGDD11238,3.3,2500,ONLY_DELIVERY,20% OFF Family Bundles,True,False,False
